#{"t_start": 1626354427.3604953, "env_id": null}
r,l,t
-573.219153,74,4.975011
-168.729207,27,6.38889
-337.864982,41,8.747502
-256.280944,37,11.090873
-217.934948,35,13.175037
-143.585866,24,14.696662
-174.520928,26,16.277446
-241.194074,56,19.619048
-109.385558,26,21.254164
-132.31864,25,22.757589
10.743768,30,24.582803
-137.492924,30,26.395209
-133.516965,33,28.408309
29.147477,33,30.452258
-16.925985,28,32.21433
71.793681,40,34.662538
42.994717,24,36.136063
-214.273958,37,38.409292
-139.332066,29,40.244976
-12.582919,20,41.51134
-143.240514,33,43.658519
-148.715172,38,45.969925
-143.803465,26,47.700778
-121.110067,40,50.243131
-109.846528,41,52.70646
-212.172284,58,56.13418
-113.611621,27,57.828839
-312.978827,50,60.912267
-206.454671,43,63.615384
-217.43345,43,66.13207
-129.680383,44,68.890366
-72.126359,43,71.47845
-176.291958,46,74.158732
-172.328344,38,76.364352
-71.776705,32,78.2866
-144.470208,46,80.99536
-101.031846,39,83.401877
47.359574,31,85.307495
-245.63454,45,88.033103
-81.37995,33,90.069248
-371.150522,57,93.373459
-466.620052,88,98.298576
-81.246114,28,100.042216
-59.861094,71,103.988603
122.532996,36,106.223677
-40.222099,45,108.916569
-108.015084,34,111.083727
20.180359,32,113.141319
-309.782985,49,115.981607
-23.249481,31,117.853422
-10.797921,26,119.524081
-53.461476,26,121.161217
-57.807649,43,123.854755
-26.55483,39,126.208866
-305.816593,65,130.062234
-180.794248,54,133.264503
-34.754599,45,136.033166
219.354147,54,139.259563
14.632277,34,141.364746
-184.536768,49,144.30722
-128.489313,34,146.333363
-143.963711,40,148.753733
40.10881,33,150.833148
-159.906338,44,153.397178
-120.471606,27,155.054089
-164.857234,68,159.243658
206.845311,55,162.404135
-164.240752,38,164.687232
-142.395258,48,167.536444
-160.134415,38,169.794035
-166.000918,65,173.765426
-174.040385,121,180.566841
-242.201482,92,185.85329
-291.831178,53,188.915507
-234.629327,72,193.336823
-470.132498,91,198.443557
-206.229724,52,201.464056
-88.119833,51,204.616533
-122.72046,38,206.886865
13.044628,55,210.344568
276.506478,73,214.786804
29.672099,42,217.356297
-138.713298,53,220.40067
-194.819297,52,223.482319
-30.232859,72,227.776551
97.394805,60,231.384762
-50.115219,42,233.927344
-63.829857,48,236.834875
144.455696,63,240.459083
-113.902986,145,248.651818
-67.29107,115,255.66397
-330.700743,86,260.708332
272.455065,76,265.341179
-127.700077,73,269.618421
52.543055,83,274.712194
36.684512,46,277.503129
108.442788,112,284.165618
-209.888967,74,288.533298
316.223783,75,293.008929
117.41036,67,297.224167
153.331766,59,300.73129
-153.400326,91,306.202711
-66.260769,52,309.305108
278.085902,58,312.87994
338.040562,90,318.072975
83.458358,55,321.388741
-1.173927,52,324.522819
160.600695,59,328.010921
24.810777,45,330.794622
190.594793,68,334.883469
150.797176,54,338.064431
-70.02718,37,340.346879
254.905055,61,344.019391
-5.245608,91,349.566294
-34.996524,91,354.806284
272.170755,94,360.184317
-46.612407,46,362.936219
2.974282,93,368.402578
103.563738,65,372.171413
-139.045587,77,376.740281
-305.741137,106,383.134417
-136.363979,78,388.10008
154.258681,116,394.915764
-62.326181,46,397.672634
-110.821055,52,400.767663
-334.755272,114,407.452262
81.39868,120,414.614963
-7.588148,82,419.359812
-1633.461564,280,435.969736
-11.728455,69,440.08357
-133.231005,159,449.417429
104.345782,60,453.009403
235.529543,106,459.229411
163.364729,75,463.851806
200.52878,63,467.539388
-9.878648,98,473.312376
-75.787536,108,479.845921
-2.156317,130,487.581733
670.234381,83,492.580744
-152.486636,83,497.418705
-13.30027,72,501.629117
133.65488,61,505.419497
133.163096,159,514.921357
166.548152,84,520.001554
188.798177,62,523.817119
84.831653,56,527.295931
193.976732,53,530.471882
95.561971,101,536.719391
618.306618,110,543.529876
266.909163,114,550.608812
184.368939,73,555.103968
-71.639204,51,558.230256
185.71776,86,563.462101
118.634575,49,566.488017
342.4225,77,571.129399
-105.423075,46,574.072015
58.093792,137,582.92582
132.640956,114,589.86899
7.236022,139,598.830392
258.413366,112,605.953739
150.059967,82,610.943736
197.961699,84,616.175089
386.213125,110,622.928316
654.015894,101,628.89758
242.481554,106,635.550082
627.910891,100,641.664392
446.49969,181,652.548595
594.483397,109,658.928831
170.147573,88,664.358719
398.356865,123,671.854475
596.655788,101,677.957246
106.822284,109,684.521774
-206.755579,112,690.991681
172.612811,82,695.959102
1111.333462,158,705.483145
145.711831,82,710.32791
-136.57918,49,713.120986
239.381753,120,720.55436
-294.163365,162,730.280764
-25.921316,108,736.749933
169.012258,122,743.933172
467.236225,178,754.689164
-5.277012,82,759.502178
20.227583,65,763.540673
366.089802,90,768.884327
496.022941,99,774.801713
80.631645,44,777.5366
1137.760194,207,789.927526
1078.321587,168,799.807399
162.685953,130,807.490475
76.702521,52,810.67123
-145.274269,163,820.577515
207.77854,120,827.730853
643.343098,242,842.488793
135.929388,69,846.772231
246.525931,241,861.044961
149.223628,176,871.619251
0.315102,185,882.629028
623.766026,178,893.451565
1816.248975,309,912.468582
597.655138,278,928.813407
-238.068919,137,936.611504
100.23134,192,948.09587
187.441796,157,957.085261
1139.625685,163,966.811381
294.100251,249,981.245983
485.575445,213,994.261439
411.360847,152,1003.374526
121.003733,134,1011.515021
-90.783698,32,1013.589201
565.155243,178,1024.334932
584.939194,217,1037.17836
393.846216,153,1046.484215
-130.292196,48,1049.111372
637.621078,164,1058.623406
125.162296,70,1062.994803
-216.298499,46,1065.893082
-100.451812,183,1077.391749
320.550984,86,1082.767437
160.354325,75,1087.430061
1095.423138,348,1108.224659
426.09148,182,1119.134985
785.652277,120,1126.379174
178.207179,96,1132.099374
1262.803392,205,1145.237864
666.875574,148,1154.027394
391.760014,138,1162.28242
99.127845,85,1167.404404
1006.742726,148,1176.321492
-137.589143,34,1178.468969
1077.062434,144,1187.223983
228.931823,90,1192.740493
65.937992,114,1199.601775
196.250485,106,1206.163719
100.71244,83,1211.180107
378.377482,114,1218.191642
798.338656,108,1224.919009
1218.209523,248,1239.861148
602.412825,215,1252.674144
-28.40294,110,1259.314378
678.389858,176,1269.802156
197.070673,102,1276.31016
1879.533737,209,1289.226204
61.500969,113,1295.966111
315.117741,142,1304.410549
1134.147708,214,1317.066887
325.718428,151,1326.297763
125.670207,83,1331.501259
214.327208,90,1337.079794
1068.63619,217,1350.270578
1127.191054,418,1375.509899
89.036358,92,1380.985083
230.674515,142,1389.506668
1049.693101,324,1409.099963
116.609413,139,1417.769246
1203.303116,245,1432.666114
440.183578,139,1441.109267
1398.912111,224,1454.467099
413.436433,150,1463.607588
138.884042,90,1469.311477
299.362278,135,1477.431533
525.484147,220,1490.83646
1710.024271,250,1505.853924
516.268808,181,1516.759677
38.719917,100,1522.832804
803.947029,225,1536.11532
62.231999,145,1544.823694
131.586569,167,1554.714962
491.007193,143,1563.195786
698.945711,155,1572.642529
755.610256,215,1585.996008
387.752979,115,1593.232554
801.838331,205,1605.786165
907.409395,114,1612.662774
